"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),응답기업수 (개),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%)
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),소계,수작업,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,수작업,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,수작업,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),소계,소계,소계,전산화,문제식별,문제진단,미래예측,자율대응,소계,소계,전산화,문제식별,문제진단,미래예측,자율대응,소계,소계,전산화,문제식별,문제진단,미래예측,자율대응
"전체",소계,소계,4000,62.7,37.4,27.7,5.0,2.4,0.6,1.6,63.5,36.5,27.0,5.3,2.4,0.6,1.3,39.4,60.6,51.2,4.6,2.8,0.9,1.2
"전체",5~20억원 미만,소계,692,80.2,19.8,14.0,2.9,1.4,0.1,1.3,79.3,20.7,15.2,3.2,1.3,0.1,0.9,57.9,42.1,36.4,2.7,1.9,0.1,0.9
"전체",20~50억원 미만,소계,719,69.3,30.7,23.8,3.1,1.8,0.7,1.4,70.8,29.2,22.8,2.6,1.5,0.7,1.5,47.6,52.4,46.0,2.2,2.4,0.6,1.3
"전체",50~80억원 미만,소계,452,69.9,30.1,23.0,4.2,1.8,0.2,0.9,70.4,29.6,21.2,5.5,1.8,0.2,0.9,45.4,54.6,46.9,5.1,1.5,0.4,0.7
"전체",80~120억원 미만,소계,428,62.6,37.4,28.0,4.7,2.8,0.7,1.2,64.5,35.5,25.5,6.1,2.6,0.7,0.7,36.2,63.8,53.3,5.6,2.1,1.6,1.2
"전체",120~200억원 미만,소계,493,57.8,42.2,32.3,3.7,2.8,1.0,2.4,59.2,40.8,30.6,4.5,2.8,0.8,2.0,31.8,68.2,57.4,5.3,2.8,0.8,1.8
"전체",200~500억원 미만,소계,707,54.2,45.8,34.2,7.4,2.8,0.4,1.0,55.2,44.8,34.1,7.1,3.0,0.1,0.6,31.7,68.3,57.7,5.8,3.1,1.0,0.7
"전체",500~1500억원 미만,소계,509,39.5,60.5,42.4,9.8,3.9,1.4,2.9,40.7,59.3,41.7,9.2,4.3,1.6,2.6,18.1,81.9,65.2,6.7,5.5,2.2,2.4
"전체",제조업,소계,1984,61.1,38.9,31.2,4.6,1.9,0.4,0.8,61.9,38.1,30.7,4.7,1.9,0.4,0.3,39.6,60.4,53.6,3.5,2.1,0.9,0.4
"전체",제조업,5~20억원 미만,318,84.0,16.0,12.9,1.9,0.6,0.0,0.6,84.0,16.0,12.6,2.8,0.6,0.0,0.0,62.9,37.1,34.6,1.3,0.9,0.3,0.0
"전체",제조업,20~50억원 미만,346,71.4,28.6,25.1,2.9,0.6,0.0,0.0,72.3,27.7,24.6,2.0,0.9,0.3,0.0,49.7,50.3,46.0,2.0,1.7,0.6,0.0
"전체",제조업,50~80억원 미만,224,68.3,31.7,26.8,2.7,2.2,0.0,0.0,68.8,31.3,25.4,3.6,2.2,0.0,0.0,43.3,56.7,49.6,4.0,2.2,0.4,0.4
"전체",제조업,80~120억원 미만,211,61.6,38.4,29.9,3.8,3.3,0.5,0.9,64.9,35.1,26.5,5.2,2.4,0.5,0.5,35.1,64.9,56.4,4.3,1.9,1.4,0.9
"전체",제조업,120~200억원 미만,236,55.5,44.5,39.4,2.1,1.7,0.4,0.8,55.1,44.9,39.4,3.0,1.7,0.4,0.4,33.1,66.9,62.3,3.0,0.8,0.4,0.4
"전체",제조업,200~500억원 미만,363,49.6,50.4,38.8,7.7,2.2,0.3,1.4,50.1,49.9,39.9,7.2,2.5,0.0,0.3,30.6,69.4,61.4,4.7,2.5,0.8,0.0
"전체",제조업,500~1500억원 미만,286,36.7,63.3,46.9,9.8,3.5,1.4,1.7,38.1,61.9,46.5,9.1,3.5,1.7,1.0,18.5,81.5,67.8,5.6,4.5,2.1,1.4
"전체",건설업,소계,444,74.1,25.9,19.4,3.6,0.9,0.2,1.8,75.9,24.1,17.3,4.3,1.1,0.0,1.4,46.4,53.6,45.9,5.0,0.9,0.2,1.6
"전체",건설업,5~20억원 미만,85,81.2,18.8,12.9,1.2,1.2,0.0,3.5,83.5,16.5,12.9,1.2,0.0,0.0,2.4,56.5,43.5,40.0,2.4,0.0,0.0,1.2
"전체",건설업,20~50억원 미만,76,78.9,21.1,18.4,0.0,0.0,0.0,2.6,84.2,15.8,13.2,0.0,0.0,0.0,2.6,50.0,50.0,47.4,0.0,0.0,0.0,2.6
"전체",건설업,50~80억원 미만,51,82.4,17.6,11.8,2.0,2.0,0.0,2.0,82.4,17.6,11.8,3.9,2.0,0.0,0.0,60.8,39.2,31.4,5.9,2.0,0.0,0.0
"전체",건설업,80~120억원 미만,45,68.9,31.1,20.0,6.7,2.2,0.0,2.2,68.9,31.1,17.8,8.9,2.2,0.0,2.2,42.2,57.8,46.7,4.4,0.0,0.0,6.7
"전체",건설업,120~200억원 미만,52,80.8,19.2,13.5,3.8,0.0,0.0,1.9,82.7,17.3,11.5,3.8,0.0,0.0,1.9,36.5,63.5,55.8,5.8,0.0,0.0,1.9
"전체",건설업,200~500억원 미만,78,75.6,24.4,17.9,3.8,1.3,1.3,0.0,75.6,24.4,16.7,5.1,2.6,0.0,0.0,47.4,52.6,43.6,5.1,2.6,1.3,0.0
"전체",건설업,500~1500억원 미만,57,45.6,54.4,43.9,10.5,0.0,0.0,0.0,47.4,52.6,40.4,10.5,1.8,0.0,0.0,24.6,75.4,59.6,14.0,1.8,0.0,0.0
"전체",도소매업,소계,637,70.2,29.8,24.2,3.1,0.8,0.2,1.6,70.0,30.0,24.3,3.1,0.9,0.2,1.4,36.1,63.9,57.0,3.9,1.6,0.3,1.1
"전체",도소매업,5~20억원 미만,102,82.4,17.6,14.7,2.0,0.0,0.0,1.0,73.5,26.5,22.5,2.9,0.0,0.0,1.0,46.1,53.9,48.0,3.9,0.0,0.0,2.0
"전체",도소매업,20~50억원 미만,110,72.7,27.3,20.9,1.8,1.8,0.0,2.7,71.8,28.2,23.6,0.0,1.8,0.0,2.7,48.2,51.8,48.2,0.9,0.9,0.0,1.8
"전체",도소매업,50~80억원 미만,68,70.6,29.4,27.9,1.5,0.0,0.0,0.0,72.1,27.9,23.5,2.9,0.0,0.0,1.5,36.8,63.2,63.2,0.0,0.0,0.0,0.0
"전체",도소매업,80~120억원 미만,71,73.2,26.8,21.1,4.2,0.0,0.0,1.4,74.6,25.4,18.3,7.0,0.0,0.0,0.0,33.8,66.2,59.2,5.6,1.4,0.0,0.0
"전체",도소매업,120~200억원 미만,87,64.4,35.6,26.4,3.4,0.0,1.1,4.6,67.8,32.2,24.1,3.4,0.0,1.1,3.4,27.6,72.4,60.9,6.9,1.1,1.1,2.3
"전체",도소매업,200~500억원 미만,114,70.2,29.8,26.3,2.6,0.9,0.0,0.0,73.7,26.3,23.7,1.8,0.9,0.0,0.0,36.0,64.0,57.0,4.4,1.8,0.9,0.0
"전체",도소매업,500~1500억원 미만,85,55.3,44.7,34.1,7.1,2.4,0.0,1.2,55.3,44.7,34.1,5.9,3.5,0.0,1.2,18.8,81.2,68.2,5.9,5.9,0.0,1.2
"전체",운수업,소계,273,67.4,32.6,25.6,5.1,1.1,0.0,0.7,69.6,30.4,24.2,4.4,1.1,0.0,0.7,45.1,54.9,47.6,2.9,2.9,0.0,1.5
"전체",운수업,5~20억원 미만,54,85.2,14.8,11.1,3.7,0.0,0.0,0.0,87.0,13.0,9.3,3.7,0.0,0.0,0.0,66.7,33.3,29.6,1.9,1.9,0.0,0.0
"전체",운수업,20~50억원 미만,52,67.3,32.7,26.9,1.9,3.8,0.0,0.0,69.2,30.8,26.9,3.8,0.0,0.0,0.0,44.2,55.8,51.9,0.0,3.8,0.0,0.0
"전체",운수업,50~80억원 미만,35,85.7,14.3,14.3,0.0,0.0,0.0,0.0,85.7,14.3,14.3,0.0,0.0,0.0,0.0,57.1,42.9,40.0,2.9,0.0,0.0,0.0
"전체",운수업,80~120억원 미만,30,56.7,43.3,36.7,6.7,0.0,0.0,0.0,63.3,36.7,33.3,0.0,3.3,0.0,0.0,46.7,53.3,46.7,3.3,3.3,0.0,0.0
"전체",운수업,120~200억원 미만,35,57.1,42.9,34.3,5.7,0.0,0.0,2.9,62.9,37.1,25.7,5.7,2.9,0.0,2.9,34.3,65.7,54.3,2.9,5.7,0.0,2.9
"전체",운수업,200~500억원 미만,48,52.1,47.9,37.5,8.3,2.1,0.0,0.0,52.1,47.9,39.6,6.3,2.1,0.0,0.0,27.1,72.9,58.3,8.3,2.1,0.0,4.2
"전체",운수업,500~1500억원 미만,19,57.9,42.1,21.1,15.8,0.0,0.0,5.3,57.9,42.1,21.1,15.8,0.0,0.0,5.3,26.3,73.7,63.2,0.0,5.3,0.0,5.3
"전체",정보통신업,소계,243,28.4,71.6,33.7,10.7,14.8,4.5,7.8,29.2,70.8,32.1,13.2,13.2,4.5,7.8,16.5,83.5,47.7,9.5,15.2,5.3,5.8
"전체",정보통신업,5~20억원 미만,45,40.0,60.0,28.9,13.3,13.3,2.2,2.2,42.2,57.8,31.1,11.1,11.1,2.2,2.2,31.1,68.9,44.4,6.7,15.6,0.0,2.2
"전체",정보통신업,20~50억원 미만,43,32.6,67.4,27.9,11.6,14.0,4.7,9.3,34.9,65.1,25.6,14.0,11.6,4.7,9.3,18.6,81.4,46.5,9.3,14.0,2.3,9.3
"전체",정보통신업,50~80억원 미만,26,38.5,61.5,30.8,15.4,3.8,3.8,7.7,42.3,57.7,26.9,15.4,3.8,3.8,7.7,23.1,76.9,50.0,15.4,3.8,3.8,3.8
"전체",정보통신업,80~120억원 미만,23,34.8,65.2,39.1,8.7,8.7,4.3,4.3,26.1,73.9,39.1,13.0,13.0,4.3,4.3,17.4,82.6,52.2,8.7,13.0,8.7,0.0
"전체",정보통신업,120~200억원 미만,30,26.7,73.3,36.7,3.3,20.0,6.7,6.7,26.7,73.3,33.3,13.3,13.3,6.7,6.7,10.0,90.0,50.0,10.0,20.0,6.7,3.3
"전체",정보통신업,200~500억원 미만,37,21.6,78.4,37.8,16.2,18.9,2.7,2.7,21.6,78.4,35.1,21.6,16.2,2.7,2.7,10.8,89.2,48.6,16.2,16.2,5.4,2.7
"전체",정보통신업,500~1500억원 미만,39,7.7,92.3,38.5,5.1,20.5,7.7,20.5,10.3,89.7,35.9,5.1,20.5,7.7,20.5,2.6,97.4,46.2,2.6,20.5,12.8,15.4
"전체",지식서비스업,소계,271,53.1,46.9,27.3,11.4,3.7,1.8,2.6,54.6,45.4,25.8,11.4,3.7,1.1,3.3,33.9,66.1,46.5,12.9,2.2,1.1,3.3
"전체",지식서비스업,5~20억원 미만,64,75.0,25.0,15.6,4.7,1.6,0.0,3.1,73.4,26.6,18.8,3.1,1.6,0.0,3.1,59.4,40.6,28.1,7.8,1.6,0.0,3.1
"전체",지식서비스업,20~50억원 미만,55,58.2,41.8,27.3,5.5,1.8,5.5,1.8,61.8,38.2,23.6,5.5,1.8,3.6,3.6,36.4,63.6,52.7,5.5,1.8,1.8,1.8
"전체",지식서비스업,50~80억원 미만,29,51.7,48.3,20.7,20.7,3.4,0.0,3.4,48.3,51.7,17.2,27.6,3.4,0.0,3.4,34.5,65.5,41.4,20.7,0.0,0.0,3.4
"전체",지식서비스업,80~120억원 미만,32,50.0,50.0,34.4,6.3,6.3,3.1,0.0,53.1,46.9,31.3,9.4,3.1,3.1,0.0,18.8,81.3,56.3,18.8,0.0,6.3,0.0
"전체",지식서비스업,120~200억원 미만,36,41.7,58.3,25.0,13.9,11.1,2.8,5.6,47.2,52.8,22.2,11.1,13.9,0.0,5.6,27.8,72.2,38.9,16.7,8.3,0.0,8.3
"전체",지식서비스업,200~500억원 미만,42,33.3,66.7,45.2,16.7,2.4,0.0,2.4,35.7,64.3,42.9,14.3,2.4,0.0,4.8,14.3,85.7,66.7,11.9,2.4,0.0,4.8
"전체",지식서비스업,500~1500억원 미만,13,30.8,69.2,30.8,38.5,0.0,0.0,0.0,30.8,69.2,30.8,38.5,0.0,0.0,0.0,15.4,84.6,53.8,30.8,0.0,0.0,0.0
"전체",녹색/환경산업,소계,148,81.1,18.9,16.2,2.0,0.7,0.0,0.0,81.1,18.9,15.5,2.0,1.4,0.0,0.0,67.6,32.4,29.7,0.7,2.0,0.0,0.0
"전체",녹색/환경산업,5~20억원 미만,24,95.8,4.2,4.2,0.0,0.0,0.0,0.0,95.8,4.2,0.0,0.0,4.2,0.0,0.0,75.0,25.0,20.8,0.0,4.2,0.0,0.0
"전체",녹색/환경산업,20~50억원 미만,37,81.1,18.9,16.2,2.7,0.0,0.0,0.0,83.8,16.2,13.5,2.7,0.0,0.0,0.0,75.7,24.3,18.9,2.7,2.7,0.0,0.0
"전체",녹색/환경산업,50~80억원 미만,19,94.7,5.3,0.0,5.3,0.0,0.0,0.0,94.7,5.3,0.0,5.3,0.0,0.0,0.0,84.2,15.8,15.8,0.0,0.0,0.0,0.0
"전체",녹색/환경산업,80~120억원 미만,16,87.5,12.5,12.5,0.0,0.0,0.0,0.0,81.3,18.8,18.8,0.0,0.0,0.0,0.0,87.5,12.5,12.5,0.0,0.0,0.0,0.0
"전체",녹색/환경산업,120~200억원 미만,17,76.5,23.5,23.5,0.0,0.0,0.0,0.0,76.5,23.5,23.5,0.0,0.0,0.0,0.0,64.7,35.3,35.3,0.0,0.0,0.0,0.0
"전체",녹색/환경산업,200~500억원 미만,25,68.0,32.0,24.0,4.0,4.0,0.0,0.0,68.0,32.0,24.0,4.0,4.0,0.0,0.0,48.0,52.0,48.0,0.0,4.0,0.0,0.0
"전체",녹색/환경산업,500~1500억원 미만,10,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,10.0,90.0,90.0,0.0,0.0,0.0,0.0
"정보화발전단계",단위정보화 단계,소계,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,20.0,0.0,0.0,0.0,0.0
"정보화발전단계",기업내통합단계,소계,114,76.3,23.7,21.9,1.8,0.0,0.0,0.0,79.8,20.2,20.2,0.0,0.0,0.0,0.0,57.0,43.0,43.0,0.0,0.0,0.0,0.0
"정보화발전단계",기업간협력단계,소계,3685,63.3,36.7,27.9,4.7,2.1,0.5,1.4,64.1,35.9,27.1,5.0,2.2,0.5,1.2,39.7,60.3,51.5,4.4,2.5,0.8,1.1
"정보화발전단계",전략적혁신단계,소계,196,42.3,57.7,28.6,12.2,9.2,3.1,4.6,42.3,57.7,29.1,13.8,7.7,3.1,4.1,21.9,78.1,50.5,10.7,9.2,4.1,3.6
